trade_date,symbol,transaction_type,quantity,price,trade_value,charges
2025-07-31 13:35:58,EO CE DMART 31Jul2025 4500,BUY,150,0.05,7.5,0
2025-07-02 09:38:43,EO CE DMART 31Jul2025 4900,SALE,150,19.05,2857.5,0
2025-07-29 14:54:04,EO CE DMART 31Jul2025 5000,BUY,300,0.3,90.0,0
2025-09-09 09:30:25,EO CE EICHERMOT 30Sep2025 7400,SALE,175,18.3,3202.5,0
2025-09-23 09:23:40,EO CE EICHERMOT 30Sep2025 7600,BUY,175,7.5,1312.5,0
2025-08-22 11:59:18,EO CE ETERNAL 28Aug2025 345,SALE,2425,0.4,970.0,0
2025-07-23 12:06:31,EO CE ETERNAL 28Aug2025 345,SALE,2425,1.95,4728.75,0
2025-09-18 15:21:28,EO CE ETERNAL 30Sep2025 370,SALE,2425,0.55,1333.75,0
2025-08-06 15:06:57,EO CE FEDERALBNK 28Aug2025 215,BUY,5000,0.4,2000.0,0
2025-08-11 15:25:12,EO CE FORTIS 28Aug2025 980,BUY,775,3.9,3022.5,0
2025-06-24 09:15:00,EO CE HDFCBANK 26Jun2025 2000,BUY,550,2.0,1100.0,0
2025-08-28 15:12:05,EO CE HDFCBANK 28Aug2025 1030,BUY,1100,0.05,55.0,0
2025-07-08 12:01:37,EO CE ANGELONE 31Jul2025 3300,SALE,250,7.0,1750.0,0
2025-08-19 13:32:17,EO CE ASHOKLEY 28Aug2025 140,BUY,5000,0.5,2500.0,0
2025-08-26 10:09:10,EO CE AUBANK 28Aug2025 830,BUY,2000,0.05,100.0,0
2025-08-08 09:39:18,EO CE AUBANK 28Aug2025 840,SALE,1000,2.9,2900.0,0
2025-07-29 10:04:19,EO CE AUBANK 28Aug2025 850,SALE,1000,1.8,1800.0,0
2025-07-21 09:17:18,EO CE AUBANK 31Jul2025 830,SALE,2000,1.1,2200.0,0
2025-06-19 11:02:14,EO CE BAJAJFINSV 26Jun2025 2240,BUY,500,0.45,225.0,0
2025-06-10 10:45:25,EO CE BAJAJFINSV 26Jun2025 2280,SALE,500,1.3,650.0,0
2025-09-12 14:36:33,EO CE BAJFINANCE 30Sep2025 1040,BUY,3000,6.5,19500.0,0
2025-09-24 15:28:18,EO CE BAJFINANCE 30Sep2025 1100,SALE,750,0.85,637.5,0
2025-07-23 14:39:29,EO CE BAJFINANCE 31Jul2025 1070,BUY,750,1.0,750.0,0
2025-07-25 09:24:13,EO CE BAJFINANCE 31Jul2025 950,SALE,750,1.9,1425.0,0
2025-06-11 12:34:33,IO PE NIFTY 12Jun2025 25000,SALE,450,21.55,9697.5,0
2025-06-16 15:03:39,IO PE NIFTY 26Jun2025 22500,SALE,225,7.3,1642.5,0
2025-06-24 10:00:49,IO PE NIFTY 26Jun2025 24700,SALE,300,17.1,5130.0,0
2025-06-26 15:20:26,IO PE NIFTY 26Jun2025 24800,BUY,225,0.1,22.5,0
2025-06-25 15:16:20,IO PE NIFTY 26Jun2025 25200,BUY,75,49.5,3712.5,0
2025-07-31 13:01:37,IO PE NIFTY 31Jul2025 24000,SALE,225,0.9,202.5,0
2025-07-28 10:43:21,IO PE NIFTY 31Jul2025 24100,SALE,300,4.1,1230.0,0
2025-09-12 15:07:16,EO CE ABCAPITAL 30Sep2025 320,BUY,3100,1.1,3410.0,0
2025-09-24 09:37:34,EO CE ASHOKLEY 30Sep2025 150,SALE,10000,0.3,3000.0,0
2025-09-24 10:02:32,EO CE ASHOKLEY 30Sep2025 150,BUY,5000,0.55,2750.0,0
2025-08-08 09:36:24,EO CE AUBANK 28Aug2025 840,SALE,1000,2.8,2800.0,0
2025-07-24 09:37:44,EO CE AUBANK 31Jul2025 940,BUY,1000,0.2,200.0,0
2025-06-06 13:29:55,EO CE BAJAJFINSV 26Jun2025 2240,BUY,500,2.05,1025.0,0
2025-08-19 15:27:58,EO CE BAJFINANCE 28Aug2025 960,BUY,1500,1.85,2775.0,0
2025-08-28 10:18:19,EO CE BAJFINANCE 28Aug2025 960,BUY,750,0.05,37.5,0
2025-09-15 11:16:23,EO CE BAJFINANCE 30Sep2025 1100,SALE,750,1.75,1312.5,0
2025-07-25 09:24:24,EO CE BAJFINANCE 31Jul2025 960,SALE,750,1.35,1012.5,0
2025-07-31 09:47:40,EO CE BAJFINANCE 31Jul2025 980,BUY,2250,0.05,112.5,0
2025-08-18 15:04:59,EO CE BEL 28Aug2025 420,SALE,2850,0.45,1282.5,0
2025-09-03 14:21:48,EO CE HDFCBANK 30Sep2025 1050,SALE,1100,0.7,770.0,0
2025-06-23 09:50:19,EO CE HDFCLIFE 26Jun2025 800,SALE,1100,0.9,990.0,0
2025-08-14 10:06:52,EO CE HDFCLIFE 28Aug2025 820,BUY,1100,2.05,2255.0,0
2025-07-28 12:22:38,EO CE HDFCLIFE 28Aug2025 850,SALE,1100,1.7,1870.0,0
2025-06-27 12:17:53,EO CE HDFCLIFE 31Jul2025 900,SALE,1100,1.25,1375.0,0
2025-08-28 11:42:04,EO CE HEROMOTOCO 28Aug2025 5350,BUY,150,1.0,150.0,0
2025-09-23 12:12:56,EO CE INDHOTEL 30Sep2025 820,SALE,1000,0.7,700.0,0
2025-09-19 12:39:38,EO CE INDHOTEL 30Sep2025 840,SALE,1000,0.9,900.0,0
2025-06-18 10:00:48,EO CE INDIANB 26Jun2025 703.75,BUY,950,0.25,237.5,0
2025-08-18 09:18:28,EO CE INDIANB 28Aug2025 740,BUY,4000,0.75,3000.0,0
2025-07-30 15:24:32,EO CE INDIANB 31Jul2025 670,BUY,1000,0.1,100.0,0
2025-06-12 14:05:02,EO CE INFY 26Jun2025 1680,BUY,400,6.1,2440.0,0
2025-09-24 10:29:36,EO CE COFORGE 30Sep2025 1860,SALE,375,0.9,337.5,0
2025-09-29 10:04:04,EO CE COFORGE 30Sep2025 2040,BUY,375,0.05,18.75,0
2025-06-30 14:12:15,EO CE DIVISLAB 31Jul2025 7000,SALE,200,116.0,23200.0,0
2025-07-14 09:22:39,EO CE DIVISLAB 31Jul2025 7800,BUY,100,3.0,300.0,0
2025-06-24 09:26:05,EO CE DMART 26Jun2025 4600,BUY,300,3.1,930.0,0
2025-09-15 15:09:57,EO CE DMART 30Sep2025 5200,SALE,150,5.95,892.5,0
2025-07-14 09:23:43,EO CE DMART 31Jul2025 4500,SALE,150,6.9,1035.0,0
2025-07-30 15:17:21,EO CE DMART 31Jul2025 4600,SALE,150,1.55,232.5,0
2025-09-11 15:04:48,EO CE EICHERMOT 30Sep2025 7400,SALE,175,7.95,1391.25,0
2025-07-29 10:15:18,EO CE HCLTECH 31Jul2025 1700,BUY,700,0.15,105.0,0
2025-08-20 13:09:35,EO CE HDFCBANK 28Aug2025 2100,SALE,1100,0.85,935.0,0
2025-06-17 15:19:35,EO CE HDFCLIFE 26Jun2025 810,SALE,1100,1.15,1265.0,0
2025-08-01 10:57:09,EO CE DABUR 28Aug2025 600,SALE,1250,1.0,1250.0,0
2025-07-01 14:21:20,EO CE DIXON 31Jul2025 15000,SALE,50,489.9,24495.0,0
2025-06-18 15:24:28,EO CE DLF 26Jun2025 890,BUY,825,3.6,2970.0,0
2025-06-24 09:18:47,EO CE DMART 26Jun2025 4500,BUY,150,7.1,1065.0,0
2025-09-23 15:04:40,EO CE DMART 30Sep2025 5000,SALE,150,5.1,765.0,0
2025-07-16 14:17:00,EO CE DMART 31Jul2025 4400,BUY,300,15.5,4650.0,0
2025-07-31 13:50:37,EO CE DMART 31Jul2025 4600,BUY,150,0.05,7.5,0
2025-07-03 15:22:02,EO CE DMART 31Jul2025 4600,BUY,150,44.7,6705.0,0
2025-07-02 10:48:54,EO CE DMART 31Jul2025 5000,SALE,300,10.9,3270.0,0
2025-08-29 09:29:38,EO CE EICHERMOT 30Sep2025 7000,SALE,175,7.15,1251.25,0
2025-09-01 13:43:50,EO CE EICHERMOT 30Sep2025 7000,BUY,175,8.1,1417.5,0
2025-09-19 14:53:54,EO CE EICHERMOT 30Sep2025 7400,BUY,175,13.95,2441.25,0
2025-08-04 11:25:16,EO CE ABB 28Aug2025 5800,SALE,125,14.9,1862.5,0
2025-06-19 11:02:03,EO CE ANGELONE 26Jun2025 3300,BUY,200,2.7,540.0,0
2025-09-24 10:02:32,EO CE ASHOKLEY 30Sep2025 150,BUY,5000,0.55,2750.0,0
2025-06-23 10:37:11,EO CE AUBANK 26Jun2025 800,BUY,1000,9.05,9050.0,0
2025-06-23 15:25:00,EO CE AUBANK 26Jun2025 820,BUY,1000,2.05,2050.0,0
2025-08-18 09:15:01,EO CE AUBANK 28Aug2025 830,BUY,1000,1.2,1200.0,0
2025-08-08 09:36:24,EO CE AUBANK 28Aug2025 840,SALE,1000,2.8,2800.0,0
2025-06-23 15:25:50,EO CE BAJAJFINSV 26Jun2025 2080,BUY,500,1.35,675.0,0
2025-06-03 12:31:29,EO CE BAJAJFINSV 26Jun2025 2240,SALE,500,2.4,1200.0,0
2025-07-01 15:02:49,EO CE SBILIFE 31Jul2025 2040,SALE,750,2.9,2175.0,0
2025-07-23 14:46:17,EO CE SBILIFE 31Jul2025 2040,BUY,375,0.45,168.75,0
2025-07-30 13:53:51,EO CE SHREECEM 31Jul2025 34000,BUY,25,2.05,51.25,0
2025-07-02 10:52:22,EO CE SHREECEM 31Jul2025 34000,SALE,25,103.3,2582.5,0
2025-06-13 11:36:10,EO CE SOLARINDS 26Jun2025 18500,BUY,300,40.1,12030.0,0
2025-07-02 14:32:32,EO CE SOLARINDS 31Jul2025 20000,SALE,75,29.9,2242.5,0
2025-08-25 13:07:59,EO CE SRF 28Aug2025 3200,BUY,200,1.3,260.0,0
2025-06-25 11:41:42,EO CE SRF 31Jul2025 3500,SALE,200,14.0,2800.0,0
2025-07-11 09:28:34,EO CE TATAELXSI 31Jul2025 6500,SALE,200,25.0,5000.0,0
2025-09-04 14:14:27,EO CE TATAMOTORS 30Sep2025 740,BUY,800,4.25,3400.0,0
2025-07-30 10:17:05,EO CE TATAMOTORS 31Jul2025 690,SALE,1600,1.0,1600.0,0
2025-08-12 11:48:56,EO CE TATASTEEL 28Aug2025 180,BUY,5500,0.2,1100.0,0
2025-07-24 09:46:20,EO CE LODHA 31Jul2025 1480,BUY,450,1.55,697.5,0
2025-09-30 15:15:19,EO CE MARUTI 28Oct2025 18000,BUY,50,32.25,1612.5,0
2025-09-08 14:46:10,EO CE MARUTI 30Sep2025 16400,BUY,100,18.0,1800.0,0
2025-07-31 10:01:02,EO CE MAXHEALTH 31Jul2025 1400,BUY,1050,0.05,52.5,0
2025-06-16 12:26:21,EO CE MFSL 26Jun2025 1680,BUY,800,2.05,1640.0,0
2025-08-29 14:16:21,EO CE MFSL 30Sep2025 1840,SALE,800,2.9,2320.0,0
2025-08-14 11:08:58,EO CE NAUKRI 28Aug2025 1500,BUY,750,4.25,3187.5,0
2025-06-24 10:53:36,EO CE NYKAA 26Jun2025 205,SALE,5900,0.6,3540.0,0
2025-06-26 10:59:01,EO CE NYKAA 26Jun2025 220,BUY,5900,0.05,295.0,0
2025-09-04 10:04:57,EO CE NYKAA 30Sep2025 255,BUY,3125,3.1,9687.5,0
2025-08-25 13:11:24,EO CE NYKAA 30Sep2025 255,SALE,3125,2.05,6406.25,0
2025-09-05 12:05:16,EO CE NYKAA 30Sep2025 260,BUY,3125,1.9,5937.5,0
2025-07-25 09:24:24,EO CE BAJFINANCE 31Jul2025 960,SALE,750,1.35,1012.5,0
2025-06-17 12:51:08,EO CE BIOCON 26Jun2025 380,BUY,2500,1.6,4000.0,0
2025-08-05 10:06:05,EO CE BOSCHLTD 28Aug2025 44000,BUY,25,315.15,7878.75,0
2025-07-30 12:27:11,EO CE BPCL 31Jul2025 350,BUY,3950,0.8,3160.0,0
2025-08-18 10:06:42,EO CE BRITANNIA 28Aug2025 6000,BUY,125,5.05,631.25,0
2025-08-14 13:15:42,EO CE BRITANNIA 28Aug2025 6200,BUY,125,1.5,187.5,0
2025-09-24 10:28:21,EO CE BRITANNIA 30Sep2025 6400,SALE,125,3.4,425.0,0
2025-09-04 10:59:44,EO CE BRITANNIA 30Sep2025 6600,BUY,250,20.0,5000.0,0
2025-06-02 10:27:26,EO CE BSE 26Jun2025 3100,SALE,750,16.9,12675.0,0
2025-06-16 12:04:41,EO CE BSE 26Jun2025 3400,SALE,750,3.3,2475.0,0
2025-06-13 10:53:05,EO CE CHOLAFIN 26Jun2025 1800,SALE,1875,1.2,2250.0,0
2025-08-01 14:47:12,EO CE CHOLAFIN 28Aug2025 1660,SALE,625,1.9,1187.5,0
2025-07-14 11:19:11,EO CE DMART 31Jul2025 4500,SALE,150,7.9,1185.0,0
2025-07-31 13:36:03,EO CE DMART 31Jul2025 4500,BUY,150,0.05,7.5,0
2025-07-02 09:38:43,EO CE DMART 31Jul2025 4900,SALE,150,19.0,2850.0,0
2025-08-18 12:25:06,EO CE EICHERMOT 28Aug2025 6500,SALE,175,3.65,638.75,0
2025-09-09 09:30:27,EO CE EICHERMOT 30Sep2025 7400,SALE,175,18.5,3237.5,0
2025-09-23 09:23:40,EO CE EICHERMOT 30Sep2025 7600,BUY,350,7.5,2625.0,0
2025-08-11 15:25:12,EO CE FORTIS 28Aug2025 980,BUY,775,3.95,3061.25,0
2025-08-01 11:01:38,EO CE HDFCBANK 28Aug2025 2240,SALE,550,1.0,550.0,0
2025-06-23 09:50:19,EO CE HDFCLIFE 26Jun2025 800,SALE,1100,0.9,990.0,0
2025-06-27 12:17:53,EO CE HDFCLIFE 31Jul2025 900,SALE,1100,1.25,1375.0,0
2025-07-14 11:37:05,EO CE HDFCLIFE 31Jul2025 900,BUY,2200,0.2,440.0,0
2025-08-18 13:55:57,EO CE HEROMOTOCO 28Aug2025 5500,SALE,150,4.9,735.0,0
2025-06-25 09:44:27,IO CE NIFTY 26Jun2025 25500,SALE,225,11.8,2655.0,0
2025-07-31 15:21:28,IO CE NIFTY 31Jul2025 25500,BUY,300,0.05,15.0,0
2025-07-08 15:27:45,IO CE NIFTY 31Jul2025 26500,BUY,75,38.5,2887.5,0
2025-07-31 15:21:30,IO CE NIFTY 31Jul2025 26800,BUY,75,0.05,3.75,0
2025-06-23 15:28:11,IO CE NIFTY 31Jul2025 26900,SALE,300,13.8,4140.0,0
2025-09-08 09:30:02,IO PE NIFTY 09Sep2025 24200,SALE,75,1.9,142.5,0
2025-09-18 15:14:02,IO PE NIFTY 23Sep2025 24500,SALE,75,3.3,247.5,0
2025-06-24 14:06:16,IO PE NIFTY 26Jun2025 24800,BUY,300,42.0,12600.0,0
2025-06-26 15:24:08,IO PE NIFTY 26Jun2025 24900,BUY,300,0.1,30.0,0
2025-07-28 13:26:43,IO CE NIFTY 31Jul2025 25500,SALE,75,5.15,386.25,0
2025-07-31 15:15:56,IO CE NIFTY 31Jul2025 26900,BUY,75,0.05,3.75,0
2025-07-09 09:21:47,IO CE NIFTY 31Jul2025 26900,SALE,150,10.6,1590.0,0
2025-06-10 14:50:11,IO PE NIFTY 12Jun2025 24800,BUY,150,17.3,2595.0,0
2025-06-16 12:10:16,IO PE NIFTY 19Jun2025 24000,SALE,225,11.0,2475.0,0
2025-06-26 10:05:27,IO PE NIFTY 26Jun2025 24700,SALE,300,2.2,660.0,0
