trade_date,symbol,transaction_type,quantity,price,trade_value,charges,open,high,low,close,volume,t_score,f_score,total_score,is_52week_high,is_52week_low,is_alltime_high,is_alltime_low,trade_hour,trade_day_of_week,trade_month,pnl,holding_period_minutes
04-08-25,EO CE ABB 28Aug2025 5700,SALE,125,19.9,2487.5,0,5310,5364,5014.5,5092.5,1957165,0,65,,FALSE,FALSE,FALSE,FALSE,0,0,8,0,0
04-08-25,EO CE ABB 28Aug2025 5700,BUY,125,20,2500,0,5310,5364,5014.5,5092.5,1957165,0,65,,FALSE,FALSE,FALSE,FALSE,0,0,8,-12.5,0
04-08-25,EO CE ABB 28Aug2025 5800,SALE,125,14.9,1862.5,0,5310,5364,5014.5,5092.5,1957165,0,65,,FALSE,FALSE,FALSE,FALSE,0,0,8,0,0
21-08-25,EO CE ABB 28Aug2025 5800,BUY,125,2.55,318.75,0,5150,5195,5112,5141.5,377717,25,65,45,FALSE,FALSE,FALSE,FALSE,0,3,8,1543.75,24480
12-09-25,EO CE ABCAPITAL 30Sep2025 320,SALE,3100,1.3,4030,0,290.95,295,288.9,291.5,5183899,100,45,72.5,TRUE,FALSE,TRUE,FALSE,0,4,9,0,0
12-09-25,EO CE ABCAPITAL 30Sep2025 320,BUY,3100,1.1,3410,0,290.95,295,288.9,291.5,5183899,100,45,72.5,TRUE,FALSE,TRUE,FALSE,0,4,9,620,0
24-09-25,EO CE ABCAPITAL 30Sep2025 320,SALE,6200,0.65,4030,0,291.45,299.4,290.5,291.95,9448934,100,45,72.5,TRUE,FALSE,TRUE,FALSE,0,2,9,0,0
24-09-25,EO CE ABCAPITAL 30Sep2025 320,BUY,6200,0.25,1550,0,291.45,299.4,290.5,291.95,9448934,100,45,72.5,TRUE,FALSE,TRUE,FALSE,0,2,9,2480,0
25-09-25,EO CE ADANIGREEN 30Sep2025 1260,SALE,600,1.7,1020,0,1096.05,1115,1076.3,1079.55,5390958,37.5,71,54.25,FALSE,FALSE,FALSE,FALSE,0,3,9,0,0
25-09-25,EO CE ADANIGREEN 30Sep2025 1260,SALE,600,1.7,1020,0,1096.05,1115,1076.3,1079.55,5390958,37.5,71,54.25,FALSE,FALSE,FALSE,FALSE,0,3,9,0,0
30-09-25,EO CE ADANIGREEN 30Sep2025 1260,BUY,1200,0.05,60,0,1037,1043,1010.5,1026.85,3520751,37.5,71,54.25,FALSE,FALSE,FALSE,FALSE,0,1,9,1980,7200
16-06-25,EO CE ANGELONE 26Jun2025 3300,SALE,200,5.7,1140,0,2919.9,2952,2850,2930.5,781858,50,54,52,FALSE,FALSE,FALSE,FALSE,0,0,6,0,0
16-06-25,EO CE ANGELONE 26Jun2025 3300,SALE,200,5.7,1140,0,2919.9,2952,2850,2930.5,781858,50,54,52,FALSE,FALSE,FALSE,FALSE,0,0,6,0,0
19-06-25,EO CE ANGELONE 26Jun2025 3300,BUY,200,2.7,540,0,2869,2909.5,2775.3,2781.6,675724,37.5,54,45.75,FALSE,FALSE,FALSE,FALSE,0,3,6,600,4320
24-06-25,EO CE ANGELONE 26Jun2025 3300,BUY,200,3.1,620,0,2986,3008.2,2938,2957.3,1088835,75,54,64.5,FALSE,FALSE,FALSE,FALSE,0,1,6,520,11520
06-06-25,EO CE ANGELONE 26Jun2025 3600,SALE,200,22.5,4500,0,3252,3275,3200,3217,792282,75,54,64.5,FALSE,FALSE,FALSE,FALSE,0,4,6,0,0
10-06-25,EO CE ANGELONE 26Jun2025 3600,SALE,200,10.95,2190,0,3218,3220.9,3123,3145.4,728254,62.5,54,58.25,FALSE,FALSE,FALSE,FALSE,0,1,6,0,0
10-06-25,EO CE ANGELONE 26Jun2025 3600,SALE,200,10.95,2190,0,3218,3220.9,3123,3145.4,728254,62.5,54,58.25,FALSE,FALSE,FALSE,FALSE,0,1,6,0,0
18-06-25,EO CE ANGELONE 26Jun2025 3600,BUY,200,1.8,360,0,2873.6,2919.1,2853.6,2866.9,552700,50,54,52,FALSE,FALSE,FALSE,FALSE,0,2,6,4140,17280
19-06-25,EO CE ANGELONE 26Jun2025 3600,BUY,200,1.65,330,0,2869,2909.5,2775.3,2781.6,675724,37.5,54,45.75,FALSE,FALSE,FALSE,FALSE,0,3,6,1860,12960
26-06-25,EO CE ANGELONE 26Jun2025 3600,BUY,200,0.05,10,0,2880,2915,2831.7,2903,1113413,50,54,52,FALSE,FALSE,FALSE,FALSE,0,3,6,2180,23040
25-08-25,EO CE ANGELONE 28Aug2025 2700,SALE,250,2.8,700,0,2526,2539,2435.2,2446.9,1562966,6.25,44,25.12,FALSE,FALSE,FALSE,FALSE,0,0,8,0,0
28-08-25,EO CE ANGELONE 28Aug2025 2700,BUY,250,0.05,12.5,0,2340,2349.6,2251,2259.4,1504243,6.25,44,25.12,FALSE,FALSE,FALSE,FALSE,0,3,8,687.5,4320
04-07-25,EO CE ANGELONE 31Jul2025 3300,SALE,250,17.85,4462.5,0,2885,2885,2734.4,2776,2854583,25,44,34.5,FALSE,FALSE,FALSE,FALSE,0,4,7,0,0
08-07-25,EO CE ANGELONE 31Jul2025 3300,SALE,250,7,1750,0,2788.1,2793.7,2607.7,2692.6,3415921,25,44,34.5,FALSE,FALSE,FALSE,FALSE,0,1,7,0,0
08-07-25,EO CE ANGELONE 31Jul2025 3300,SALE,250,7,1750,0,2788.1,2793.7,2607.7,2692.6,3415921,25,44,34.5,FALSE,FALSE,FALSE,FALSE,0,1,7,0,0
16-07-25,EO CE ANGELONE 31Jul2025 3300,BUY,250,5.45,1362.5,0,2675,2731.8,2660.8,2716.8,1250057,25,44,34.5,FALSE,FALSE,FALSE,FALSE,0,2,7,3100,17280
16-07-25,EO CE ANGELONE 31Jul2025 3300,BUY,500,5.45,2725,0,2675,2731.8,2660.8,2716.8,1250057,25,44,34.5,FALSE,FALSE,FALSE,FALSE,0,2,7,775,11520
19-08-25,EO CE ASHOKLEY 28Aug2025 140,BUY,5000,0.5,2500,0,131.76,133.55,127.11,133.28,40387936,100,66,83,TRUE,FALSE,TRUE,FALSE,0,1,8,0,0
19-08-25,EO CE ASHOKLEY 28Aug2025 140,SALE,5000,0.25,1250,0,131.76,133.55,127.11,133.28,40387936,100,66,83,TRUE,FALSE,TRUE,FALSE,0,1,8,-1250,0
24-09-25,EO CE ASHOKLEY 30Sep2025 150,SALE,10000,0.3,3000,0,142.5,143.99,139.6,142.26,36960853,75,66,70.5,FALSE,FALSE,FALSE,FALSE,0,2,9,0,0
24-09-25,EO CE ASHOKLEY 30Sep2025 150,BUY,5000,0.55,2750,0,142.5,143.99,139.6,142.26,36960853,75,66,70.5,FALSE,FALSE,FALSE,FALSE,0,2,9,-1250,0
24-09-25,EO CE ASHOKLEY 30Sep2025 150,BUY,5000,0.55,2750,0,142.5,143.99,139.6,142.26,36960853,75,66,70.5,FALSE,FALSE,FALSE,FALSE,0,2,9,-1250,0
12-08-25,EO CE ASTRAL 28Aug2025 1400,SALE,425,3.3,1402.5,0,1310.1,1356.7,1263.7,1269.3,6627957,6.25,52,29.12,FALSE,FALSE,FALSE,FALSE,0,1,8,0,0
18-08-25,EO CE ASTRAL 28Aug2025 1400,BUY,425,4.25,1806.25,0,1284.4,1342.7,1284.4,1313.7,2809039,6.25,52,29.12,FALSE,FALSE,FALSE,FALSE,0,0,8,-403.75,8640
23-06-25,EO CE AUBANK 26Jun2025 800,SALE,1000,8.5,8500,0,797.7,802,789.35,796.55,2615512,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,0,0
23-06-25,EO CE AUBANK 26Jun2025 800,BUY,1000,9.1,9100,0,797.7,802,789.35,796.55,2615512,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,-600,0
23-06-25,EO CE AUBANK 26Jun2025 800,BUY,1000,9.05,9050,0,797.7,802,789.35,796.55,2615512,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,0,0
23-06-25,EO CE AUBANK 26Jun2025 800,SALE,1000,9.9,9900,0,797.7,802,789.35,796.55,2615512,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,850,0
23-06-25,EO CE AUBANK 26Jun2025 820,BUY,1000,2.05,2050,0,797.7,802,789.35,796.55,2615512,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,0,0
23-06-25,EO CE AUBANK 26Jun2025 820,SALE,1000,2.4,2400,0,797.7,802,789.35,796.55,2615512,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,350,0
13-06-25,EO CE AUBANK 26Jun2025 830,SALE,1000,1.9,1900,0,769.95,772.75,757,768.6,1774265,75,68,71.5,FALSE,FALSE,FALSE,FALSE,0,4,6,0,0
13-06-25,EO CE AUBANK 26Jun2025 830,SALE,1000,1.9,1900,0,769.95,772.75,757,768.6,1774265,75,68,71.5,FALSE,FALSE,FALSE,FALSE,0,4,6,0,0
16-06-25,EO CE AUBANK 26Jun2025 830,BUY,1000,1.25,1250,0,768.5,783.5,758.8,781.45,1525817,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,650,4320
16-06-25,EO CE AUBANK 26Jun2025 830,BUY,1000,1.25,1250,0,768.5,783.5,758.8,781.45,1525817,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,650,4320
19-06-25,EO CE AUBANK 26Jun2025 830,SALE,1000,2,2000,0,798.5,808,787.75,790.1,4235907,75,68,71.5,TRUE,FALSE,TRUE,FALSE,0,3,6,0,0
23-06-25,EO CE AUBANK 26Jun2025 830,SALE,1000,1.3,1300,0,797.7,802,789.35,796.55,2615512,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,0,0
23-06-25,EO CE AUBANK 26Jun2025 830,SALE,1000,1.35,1350,0,797.7,802,789.35,796.55,2615512,100,68,84,FALSE,FALSE,FALSE,FALSE,0,0,6,0,0
24-06-25,EO CE AUBANK 26Jun2025 830,BUY,3000,1.1,3300,0,802,805.85,790.65,800.7,1329371,100,68,84,FALSE,FALSE,FALSE,FALSE,0,1,6,1350,3360
19-06-25,EO CE AUBANK 26Jun2025 840,BUY,1000,1.3,1300,0,798.5,808,787.75,790.1,4235907,75,68,71.5,TRUE,FALSE,TRUE,FALSE,0,3,6,0,0
19-06-25,EO CE AUBANK 26Jun2025 840,SALE,1000,1.9,1900,0,798.5,808,787.75,790.1,4235907,75,68,71.5,TRUE,FALSE,TRUE,FALSE,0,3,6,600,0
19-06-25,EO CE AUBANK 26Jun2025 850,SALE,1000,1.4,1400,0,798.5,808,787.75,790.1,4235907,75,68,71.5,TRUE,FALSE,TRUE,FALSE,0,3,6,0,0
19-06-25,EO CE AUBANK 26Jun2025 850,SALE,1000,1.4,1400,0,798.5,808,787.75,790.1,4235907,75,68,71.5,TRUE,FALSE,TRUE,FALSE,0,3,6,0,0
26-06-25,EO CE AUBANK 26Jun2025 850,BUY,1000,0.05,50,0,811,824,806.15,819.7,5819183,100,68,84,TRUE,FALSE,TRUE,FALSE,0,3,6,1350,10080
26-06-25,EO CE AUBANK 26Jun2025 850,BUY,1000,0.05,50,0,811,824,806.15,819.7,5819183,100,68,84,TRUE,FALSE,TRUE,FALSE,0,3,6,1350,10080
25-08-25,EO CE AUBANK 28Aug2025 780,SALE,2000,1.05,2100,0,738,753.25,738,749.6,1711315,50,79,64.5,FALSE,FALSE,FALSE,FALSE,0,0,8,0,0
28-08-25,EO CE AUBANK 28Aug2025 780,BUY,2000,0.05,100,0,745.3,751.95,728,729.25,1467576,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,3,8,2000,4320
08-08-25,EO CE AUBANK 28Aug2025 830,SALE,1000,3.9,3900,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
18-08-25,EO CE AUBANK 28Aug2025 830,SALE,1000,0.9,900,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,0,0
18-08-25,EO CE AUBANK 28Aug2025 830,BUY,1000,1,1000,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,2900,14400
18-08-25,EO CE AUBANK 28Aug2025 830,BUY,1000,1.2,1200,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,-300,0
19-08-25,EO CE AUBANK 28Aug2025 830,SALE,2000,0.6,1200,0,760,765,754.15,758.5,826929,62.5,79,70.75,FALSE,FALSE,FALSE,FALSE,0,1,8,0,0
26-08-25,EO CE AUBANK 28Aug2025 830,BUY,2000,0.05,100,0,750,750.9,740.25,745.25,2429502,50,79,64.5,FALSE,FALSE,FALSE,FALSE,0,1,8,1100,10080
08-08-25,EO CE AUBANK 28Aug2025 840,SALE,1000,2.8,2800,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
08-08-25,EO CE AUBANK 28Aug2025 840,SALE,1000,1.8,1800,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
08-08-25,EO CE AUBANK 28Aug2025 840,SALE,1000,2.9,2900,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
08-08-25,EO CE AUBANK 28Aug2025 840,SALE,1000,2.9,2900,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
08-08-25,EO CE AUBANK 28Aug2025 840,SALE,1000,2.8,2800,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
18-08-25,EO CE AUBANK 28Aug2025 840,BUY,1000,0.85,850,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,1950,14400
18-08-25,EO CE AUBANK 28Aug2025 840,BUY,2000,0.85,1700,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,3000,14400
18-08-25,EO CE AUBANK 28Aug2025 840,BUY,1000,0.8,800,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,2100,14400
18-08-25,EO CE AUBANK 28Aug2025 840,BUY,1000,0.8,800,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,2000,14400
29-07-25,EO CE AUBANK 28Aug2025 850,SALE,1000,1.8,1800,0,727.9,741.8,727,739.95,2061754,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,0,0
29-07-25,EO CE AUBANK 28Aug2025 850,SALE,1000,1.8,1800,0,727.9,741.8,727,739.95,2061754,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,0,0
08-08-25,EO CE AUBANK 28Aug2025 850,SALE,2000,2.25,4500,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
08-08-25,EO CE AUBANK 28Aug2025 850,SALE,2000,2.25,4500,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
25-08-25,EO CE AUBANK 28Aug2025 850,BUY,3000,0.1,300,0,738,753.25,738,749.6,1711315,50,79,64.5,FALSE,FALSE,FALSE,FALSE,0,0,8,5550,34080
26-08-25,EO CE AUBANK 28Aug2025 850,BUY,3000,0.05,150,0,750,750.9,740.25,745.25,2429502,50,79,64.5,FALSE,FALSE,FALSE,FALSE,0,1,8,6600,25920
22-07-25,EO CE AUBANK 31Jul2025 800,SALE,2000,1,2000,0,752.95,753.8,724.25,725.8,4668078,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,0,0
24-07-25,EO CE AUBANK 31Jul2025 800,BUY,1000,0.8,800,0,736.75,746.55,732.3,745.45,2296317,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,3,7,200,2880
24-07-25,EO CE AUBANK 31Jul2025 800,BUY,1000,0.8,800,0,736.75,746.55,732.3,745.45,2296317,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,3,7,200,2880
21-07-25,EO CE AUBANK 31Jul2025 810,SALE,1000,1.15,1150,0,770,770,735.2,752.9,11588986,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,0,0
21-07-25,EO CE AUBANK 31Jul2025 810,SALE,1000,1.15,1150,0,770,770,735.2,752.9,11588986,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,0,0
21-07-25,EO CE AUBANK 31Jul2025 810,SALE,2000,1.15,2300,0,770,770,735.2,752.9,11588986,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,0,0
28-07-25,EO CE AUBANK 31Jul2025 810,BUY,2000,0.2,400,0,728.5,737.9,725,727.35,1906629,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,1900,10080
29-07-25,EO CE AUBANK 31Jul2025 810,BUY,2000,0.1,200,0,727.9,741.8,727,739.95,2061754,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,2100,11520
21-07-25,EO CE AUBANK 31Jul2025 830,SALE,2000,1.1,2200,0,770,770,735.2,752.9,11588986,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,0,0
21-07-25,EO CE AUBANK 31Jul2025 830,SALE,1000,1.05,1050,0,770,770,735.2,752.9,11588986,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,0,0
25-07-25,EO CE AUBANK 31Jul2025 830,BUY,2000,0.2,400,0,743.1,747.8,727.45,733.4,1485353,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,7,1800,5760
28-07-25,EO CE AUBANK 31Jul2025 830,BUY,1000,0.15,150,0,728.5,737.9,725,727.35,1906629,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,900,10080
21-07-25,EO CE AUBANK 31Jul2025 850,SALE,4000,0.5,2000,0,770,770,735.2,752.9,11588986,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,0,0
29-07-25,EO CE AUBANK 31Jul2025 850,BUY,2000,0.1,200,0,727.9,741.8,727,739.95,2061754,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,800,11520
29-07-25,EO CE AUBANK 31Jul2025 850,BUY,2000,0.1,200,0,727.9,741.8,727,739.95,2061754,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,800,11520
30-06-25,EO CE AUBANK 31Jul2025 940,SALE,1000,2.4,2400,0,813.8,822.25,808.8,817.5,2397545,75,68,71.5,FALSE,FALSE,FALSE,FALSE,0,0,6,0,0
02-07-25,EO CE AUBANK 31Jul2025 940,SALE,2000,2.4,4800,0,840,841,816,818.25,2504958,75,79,77,TRUE,FALSE,TRUE,FALSE,0,2,7,0,0
24-07-25,EO CE AUBANK 31Jul2025 940,BUY,1000,0.2,200,0,736.75,746.55,732.3,745.45,2296317,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,3,7,2200,34560
